,french,english
94,11/12/13,"onze, douze, treize"
95,14/15/16,quatorze/quinze/seize
96,20/30/40,vingt/trente/quarante
97,50/60,cinquante/soixante
98,avoir/je/tu/il/vous/nous/ils,have/ai/as/a/avez/avons/ont
99,Ils ont quel âge?,What are their age
100,Quel âge vous avez,What is your age
101,j'ai vingt ans,i have 20 years
102,Quelle est sa nationalité,what ur nationality
103,mais,but
104,préférées,favorite
105,lecture,(act of)reading
106,aussi,also
107,un peu,a little
108,je suis content,happy
109,je suis triste,sad
110,je suis fatigué(e),tired
111,je suis en forme,Healthy
112,je suis malade,sick
113,j'ai soif,thirst
114,j'ai chaud,hot
115,j'ai froid,cold
116,j'ai peur,shocked
117,j'ai faim,hungry
118,j'ai sommeil,sleepy
119,quelle est sa xx,what is his/her xx
120,encore une fois,repeat one more time
121,trouvez,find
122,quels numéros,what numbers
123,e,err
124,é,ayy-accent aigu
125,e,air-accent grave e
126,ê,air-accent circonflexe e
127,-ais/-ois/-ien,Add to end
128,né,born in
129,Li\hl{re},read
130,ecri\hl{re},to write
131,chiffres,figure
132,puis,then
133,jeu(x),game
134,physique,physics
135,chimie,chemistry
136,partenaire,partner
137,la culture,culture
138,la technologie,technology
139,l'amour,love
140,des sciences,sciences
141,des affaires,politics
142,l'humour,comedy
143,s'exprimer,express
144,poliment,politely
145,remplir,fill
146,formulaire,form
147,le coûte,price
148,ce(m)/cette(f),this
149,un sac,bag
150,une robe,dress
151,un café,coffee
152,mots,words
153,les mots de politesse,polite words
154,centimes,cents
155,eg. 1.50euro,un euro cinquante
156,c'est un xx,its xx
157,dit,say
158,entendez,heard
159,retrouvez,find
160,désolé,sorry
161,je vous en prie,ur welcome (polite)
162,de rien,your welcome
163,courriel,email
164,mot de passe,password
165,civilité,gender
166,repérer,spot
167,aide,help
168,comprendre,to understand
169,souligner,underline/emphasise
170,entourer,circle/surround
171,surligner,highlight
172,données personnelles,personal data
173,inscrivez-vous,register
174,profitez,enjoy
175,nombreux,many
176,avantages,benefits
177,partout,everywhere
178,naissance,birth
179,aerobase,@
180,aller/je/tu/(il/on/ça)/vous/nous/ils,go/vais/vas/va/allons/allez/vont
181,il y a,There is/there are
182,aller,go
183,un mouchoir,cloth
184,un mouchoir en papier,paper
185,une gomme,eraser
186,un stylo,pen
187,un ordinateur,computer
188,un probléme,problem
189,un crayon,pencil
190,un parapluie,umbrella
191,un téléphone,phone
192,un bureau,desk
193,un tableau,painting
194,un ballon,ball
195,un portefeuilles,wallet
196,un appareils,devices
197,des ciseaux,scissors
198,des lunettes,glasses
199,des livres,some books
200,une bouteille,bottle
201,une chaise,chair
202,une montre,watch
203,une règle,ruler
204,une clé,key
205,une souris,mouse
206,une tasse,cup
207,une glace,ice
208,trousse,pencil case
209,ne xx plus de,no longer/not anymore
210,toujours,still/everyday
211,maintenant,now
212,travaille,work
213,fume,smoke
214,c’est/ce sont,it is/they are
215,des,some
216,doudou,soft toy
217,d’après une enquête,according to survey
218,passons,spend
219,vie,life
220,cherche,finding
221,pardons,lost
222,le footing,jogging
223,la natation,swimming
224,la football,soccer
225,une/l’ escrime,fencing
226,un box,boxing
227,le chant,singing
228,appendre,learn
229,escalade,rock climbing
230,Qu’est-ce que tu preferer,what do you like(verb)
231,aimer/préférer/adorer,like
232,détester/n’aime pas,dislike
233,le sondage,survey
234,la peinture,painting
235,la lecture,to read
236,les bandes dessinées (bayday),comic
237,l’opera,the opera
238,l’elison,linking vowels tog
239,devient,becomes
240,devant,in front
241,mais,but
242,dors,sleep
243,à la folie,to madness
244,faire,to do
245,fais xx <activity>,do <activity>
246,ne fais pas xx <activity>,not do..
247,souvent,often
248,Quelle heure est-il,What time is it
249,il est <hr> heures <min>,its xx time
250,heure,hour
251,minute,minutes
252,seconde,second (segond)
253,5:15,cinq heures et quart
254,5:30,“ et demie (ed-mi)
255,5:40,six heures moins vingt
256,5:50,“ moins dix
257,5:45,“ moins le quart
258,tôt,early
259,tard,late
260,aujourd’hui,today
261,demain,tomorrow
262,hier,yesterday
263,Une affiche,poster
264,une poster,poster
265,autre,other
266,vouloir,want
267,aller,go
268,à la bibliothèque(f),to xx
269,nouveau,again
270,une équerre,setsquare
271,un marqueur,marker
272,repérez,spot
273,mon(m/vowels)/ma(f),my
274,ami(m)/amie(f),friend
275,un souhait,wish
276,une voiture,car
277,perdre,lose
278,et,and(never link)
279,main,hand
280,malade,sick
281,jardin,garden
282,quitte,leaving
283,marionette,puppet
